,load_vm_pu,load_va_deg,gen_va_deg,load_gen_va_deg,va_degree
32,0.984375,0.383140625,0.865875,0.3803111111111111,0.4150598290598291
33,0.984375,0.388828125,0.872125,0.3908,0.42263247863247866
34,0.984375,0.39446875,0.87625,0.4006222222222222,0.42977777777777776
35,0.984375,0.4001875,0.879875,0.4097777777777778,0.43667521367521367
36,0.984375,0.405578125,0.88375,0.4188222222222222,0.4433675213675214
37,0.984375,0.41175,0.88625,0.4284,0.4505982905982906
38,0.984375,0.417,0.890125,0.43804444444444446,0.45744444444444443
39,0.984375,0.422125,0.893375,0.44704444444444447,0.4639316239316239
40,0.984375,0.427609375,0.897125,0.45584444444444444,0.47057264957264955
41,0.984375,0.432796875,0.901125,0.4632,0.4765128205128205
42,0.984375,0.437625,0.903875,0.4719555555555556,0.4827094017094017
43,0.984375,0.442125,0.90725,0.4795111111111111,0.48830769230769233
44,0.984375,0.44628125,0.91125,0.4874,0.4938888888888889
45,0.984375,0.450625,0.91425,0.49435555555555555,0.49914529914529915
46,0.984375,0.454703125,0.916875,0.5007777777777778,0.5040256410256411
47,0.984375,0.45890625,0.9195,0.5070222222222223,0.5089059829059829
48,0.984375,0.463328125,0.922625,0.5125333333333333,0.5136581196581197
49,0.984375,0.467765625,0.92525,0.5183555555555556,0.5185042735042735
50,0.984375,0.47196875,0.928875,0.5237111111111111,0.5231111111111111
51,0.984375,0.476328125,0.93125,0.5289111111111111,0.5276581196581197
52,0.984375,0.4810625,0.93425,0.5337333333333333,0.5323076923076923
53,0.984375,0.486203125,0.937125,0.5386666666666666,0.5372136752136752
54,0.984375,0.491125,0.94075,0.5441111111111111,0.5422478632478632
55,0.984375,0.495453125,0.943625,0.5488222222222222,0.5466239316239316
56,0.984375,0.500421875,0.94725,0.5535555555555556,0.5514102564102564
57,0.984375,0.505390625,0.949625,0.5584,0.5561538461538461
58,0.984375,0.510171875,0.953625,0.5635555555555556,0.561025641025641
59,0.984375,0.51490625,0.956375,0.5680222222222222,0.5655213675213675
60,0.984375,0.519453125,0.959,0.5729777777777778,0.5700940170940171
61,0.984375,0.523484375,0.961125,0.5773555555555555,0.5741282051282052
62,0.984375,0.52765625,0.96325,0.5821333333333333,0.5783931623931624
63,0.984375,0.53190625,0.965625,0.5860888888888889,0.5824017094017094
64,0.984375,0.53671875,0.968125,0.5898888888888889,0.5866666666666667
65,0.984375,0.541734375,0.970375,0.5936,0.590991452991453
66,0.984375,0.546015625,0.97275,0.598,0.5951880341880342
67,0.984375,0.55046875,0.97575,0.6015777777777778,0.5992051282051282
68,0.984375,0.55509375,0.97825,0.6053555555555555,0.6033589743589743
69,0.984375,0.559625,0.9795,0.6092,0.6074017094017095
70,0.984375,0.56409375,0.98175,0.6133555555555555,0.6115982905982906
71,0.984375,0.568609375,0.9835,0.6170888888888889,0.6156239316239316
72,0.984375,0.572953125,0.985,0.621,0.6196068376068377
73,0.984375,0.57815625,0.986375,0.6249555555555556,0.6240683760683761
74,0.984375,0.582546875,0.9885,0.6286888888888889,0.628051282051282
75,0.984375,0.587234375,0.989625,0.6328,0.6322735042735043
76,0.984375,0.592359375,0.99025,0.6367333333333334,0.6366324786324786
77,0.984375,0.597109375,0.991625,0.6411111111111111,0.641008547008547
78,0.984375,0.6014375,0.993125,0.6448666666666667,0.6449230769230769
79,0.984375,0.605734375,0.994875,0.6491555555555556,0.649042735042735
80,0.984375,0.61025,0.99575,0.6531111111111111,0.653094017094017
81,0.984375,0.614703125,0.99625,0.6573777777777777,0.6572051282051282
82,0.984375,0.619296875,0.99675,0.6613777777777777,0.6612905982905983
83,0.984375,0.6236875,0.997,0.6658,0.6654102564102564
84,0.984375,0.62815625,0.997375,0.6704666666666667,0.6696752136752137
85,0.984375,0.632828125,0.998125,0.6744,0.6737948717948717
86,0.984375,0.63696875,0.998375,0.6783555555555556,0.6775982905982906
87,0.984375,0.641453125,0.998625,0.6827111111111112,0.6817435897435897
88,0.984375,0.6455625,0.99875,0.6870888888888889,0.6856837606837607
89,0.984375,0.65040625,0.999,0.6909555555555555,0.6898376068376069
90,0.984375,0.65425,0.999375,0.6945555555555556,0.6933504273504274
91,0.984375,0.658828125,0.999625,0.6984,0.6973504273504274
92,0.984375,0.662890625,0.99975,0.7020222222222222,0.700974358974359
93,0.984375,0.667359375,0.99975,0.7058222222222222,0.7048803418803419
94,0.984375,0.67190625,0.999875,0.7094222222222222,0.7087606837606838
95,0.9879375,0.676109375,0.999875,0.7136,0.7126666666666667
96,0.998890625,0.680265625,0.999875,0.7171555555555555,0.7163076923076923
97,1.0,0.684625,0.999875,0.7210666666666666,0.7201965811965811
98,1.0,0.68878125,0.999875,0.7239111111111111,0.7235641025641025
99,1.0,0.692875,0.999875,0.7272222222222222,0.7270769230769231
