,load_vm_pu,load_va_deg,gen_va_deg,load_gen_va_deg,va_degree,q_mvar
86,1.0,0.965546875,0.999875,0.9541777777777778,0.9635213675213675,0.06725641025641026
87,1.0,0.968828125,1.0,0.9560888888888889,0.966059829059829,0.06800854700854701
88,1.0,0.972046875,1.0,0.9577555555555556,0.9684615384615385,0.06895726495726495
89,1.0,0.9749375,1.0,0.9594888888888888,0.9707094017094017,0.06974358974358974
90,1.0,0.976921875,1.0,0.9612444444444445,0.9724700854700855,0.07073504273504273
91,1.0,0.978546875,1.0,0.9625333333333334,0.9738547008547008,0.07165811965811966
92,1.0,0.979734375,1.0,0.9646,0.9752991452991453,0.07271794871794872
93,1.0,0.9805625,1.0,0.9666666666666667,0.9765470085470086,0.07377777777777778
94,1.0,0.981296875,1.0,0.9683555555555555,0.9775982905982906,0.07487179487179488
95,1.0,0.982,1.0,0.9697333333333333,0.9785128205128205,0.07576923076923077
96,1.0,0.98284375,1.0,0.9711777777777778,0.9795299145299146,0.07692307692307693
97,1.0,0.983640625,1.0,0.9726666666666667,0.9805384615384616,0.07799145299145299
98,1.0,0.98428125,1.0,0.9737333333333333,0.9812991452991453,0.07908547008547008
99,1.0,0.984859375,1.0,0.9746888888888889,0.9819829059829059,0.08005982905982906
